Altium Designer Pick and Place Locations
C:\Users\blinkinlabs\Blinkinlabs-Repos\alles-pcb\pcb\Project Outputs for Alles\Pick Place\Pick Place for Alles.csv

========================================================================================================================
File Design Information:

Date:       23/11/20
Time:       12:33
Revision:   384bc4077c30e6a1392bca8b4d2ed568af7bf70f
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"L3","FNR201610S","40.7000","23.8000","40.7000","23.8000","41.4000","23.8000","TopLayer","180","6.8uH"
"C21","CAPC1608X09L","38.5000","22.6000","38.5000","22.6000","38.5000","23.2500","TopLayer","270","22uF"
"C1","CAPC1005X06L","40.6000","22.1000","40.6000","22.1000","40.9900","22.1000","TopLayer","180","0.10uF"
"R8","ERJ2G(0402)_L","35.5000","22.0000","35.5000","22.0000","35.5000","21.6000","TopLayer","90","1.5k"
"DS3","BL-Hxx37A-AV-TRB","35.5000","22.0000","35.5000","22.0000","35.5000","21.4750","BottomLayer","90","BL-HB337A-AV-TRB"
"DS1","BL-Hxx37A-AV-TRB","24.5000","22.0000","24.5000","22.0000","24.5000","21.4750","BottomLayer","90","BL-HUB37A-AV-TRB"
"R23","ERJ2G(0402)_N","31.0000","21.5000","31.0000","21.5000","31.4500","21.5000","TopLayer","180","10k"
"R22","ERJ2G(0402)_N","31.0000","20.5000","31.0000","20.5000","31.4500","20.5000","TopLayer","180","10k"
"U3","SOT95P280X125-6N","41.2500","20.0000","41.2500","20.0000","39.9000","20.9500","TopLayer","360","BL9352A"
"D1","DIOD-SOD323-2_V","44.5000","19.7500","44.5000","19.7500","44.5000","18.6950","TopLayer","90","ZHCS400TA"
"R18","ERJ2G(0402)_L","38.5000","19.5000","38.5000","19.5000","38.5000","19.9000","TopLayer","270","23.7k"
"R17","ERJ2G(0402)_L","36.5000","19.5000","36.5000","19.5000","36.5000","19.1000","TopLayer","90","127k"
"C22","CAPC1005X06L","37.5000","19.5000","37.5000","19.5000","37.5000","19.8900","TopLayer","270","33pF"
"P3","HDR1X4","47.0000","18.2700","47.0000","14.4600","47.0000","14.4600","TopLayer","90","Header 4"
"Q2","FP-419B-02-MFG","31.5000","18.2500","31.5000","18.2500","30.5800","18.9000","TopLayer","360","NTJD5121NT1G"
"C2","CAPC1608X09L","41.7500","17.5000","41.7500","17.5000","42.4000","17.5000","TopLayer","180","10uF"
"SW4","TS-1185","41.4998","16.0000","41.4998","16.0000","41.4998","18.1750","BottomLayer","270","TS-1185"
"SW3","TS-1185","30.4998","16.0000","30.4998","16.0000","30.4998","18.1750","BottomLayer","270","TS-1185"
"SW2","TS-1185","19.4998","16.0000","19.4998","16.0000","19.4998","13.8250","BottomLayer","90","TS-1185"
"SW1","TS-1185","8.4998","16.0000","8.4998","16.0000","8.4998","13.8250","BottomLayer","90","TS-1185"
"U1","ESP32-WROOM-32-shortpad","18.0000","15.0000","9.0000","6.0000","9.0000","6.0000","TopLayer","90","ESP32-WROOM-32E(4MB)"
"R2","ERJ2G(0402)_L","38.3000","13.8000","38.3000","13.8000","37.9000","13.8000","TopLayer","360","0.0"
"R1","ERJ2G(0402)_L","38.3000","12.9000","38.3000","12.9000","38.7000","12.9000","TopLayer","180","0.0"
"U2","FP-T1633-4-MFG","41.2500","12.5000","41.2500","12.5000","39.8250","13.2500","TopLayer","0","MAX98357AETE+"
"U15","SLAB-QFN-24-2675x2675TP_M","32.2500","12.0000","32.2500","12.0000","31.0000","9.9500","TopLayer","90","CP2104-F03-GM"
"R3","ERJ2G(0402)_N","36.1000","12.0000","36.1000","12.0000","35.6500","12.0000","TopLayer","360","10k"
"C3","CAPC1005X06L","36.1000","11.0000","36.1000","11.0000","35.7100","11.0000","TopLayer","360","1uF"
"C5","CAPC1005X06L","36.1000","10.1000","36.1000","10.1000","35.7100","10.1000","TopLayer","0","4.7uF"
"P1","HDR1X2","47.0000","9.7700","47.0000","8.5000","47.0000","8.5000","TopLayer","90","Header 2"
"C10","CAPC1608X09L","39.3000","9.5000","39.3000","9.5000","39.9500","9.5000","TopLayer","180","22uF"
"C6","CAPC1608X09L","43.5000","9.5000","43.5000","9.5000","42.8500","9.5000","TopLayer","360","10uF"
"C4","CAPC1005X06L","36.1000","9.2000","36.1000","9.2000","36.4900","9.2000","TopLayer","180","0.10uF"
"C7","CAPC1005X06L","43.5000","8.5000","43.5000","8.5000","43.8900","8.5000","TopLayer","180","0.10uF"
